@relation output

@attribute text string
@attribute @@class@@ {impolite,polite}

@data
'Seems like a roundabout way to get an address structure to me. Why not just pass 2a00:1450:8006::68 to `getaddrinfo`?',impolite
'Why would your application need such a structure? What are you doing?',impolite
'You mean the OS-specific printing interface?  How can the OS-specific printing API be magically OS independent?',impolite
'Your error message tells us nothing. Do you have a detailed log --perhaps you can run it from the command line (as Ravi replied below) and paste the error messages?',impolite
'What is your definition of a small change in the output? Edit distance (treating hashes as strings) or mathematical distance of numbers (treating hashes as integers?)',impolite
'Would it be a better question if it were Why are Perl threads so $#@$&!*@# slow compared to other languages?',impolite
'This is programming related. Why is this flagged?',impolite
'This looks unnecessarily complicated. What are `prodsofar` and `listsofar` supposed to represent?',impolite
'I dont quite understand. Why dont you use ${resource} and pass it to the frontend?',impolite
'Youre probably trying to optimize the wrong thing. Im wondering why you think this particular part of the language is so important?',impolite
'Do you need the id column? Why not just tell the query to fetch only the name column?',impolite
'What part of that are you confused about? [this](http://www.quirksmode.org/js/this.html)?',impolite
'The computer may have multiple disks and multiple partitions each one with one different file system. Do you want to know the type of root partition or what?',impolite
'You are doing a regex match but not checking whether it succeeded or using its results in any way.  What change to you want to happen to `$name`?',impolite
'did you finally resolve your problem? did you file a bug-report?',impolite
'Terrible question title. I dont know enough about graphs to generate a better one - any suggestions?',impolite
'Homework? Who told you that checking the precondition is a bad idea?',impolite
'Im slightly surpirised that this post just got to 1k views and still theres no voting on the answers. Is that just laziness are viewers lacking voting rights or is there something wrong with the answer(s)?',impolite
'Whats wrong with it? Isnt making a wordpress theme programming?',impolite
'Usually you dont get answers if you dont show effort of solving things by yourself first. So what are your thoughts what is your proposed solution what is clear and what is unclear to you?',impolite
'Hows that even possible? Why dont you join the stdout to the logcat output and try to print that massive log directly on stdout?',impolite
'Why does transparency matter? Its just another channel just like red green or blue?',impolite
'Why the downvote?  Am I missing something?',impolite
'@Sorin: If its just a simple script then why do you need syntactic sugar at all? Is it pure vanity (*...but I want it to work this way because it looks much nicer*) or is there any technical reason that you cannot simply use the methods that are already there?',impolite
'Is there a reason you didnt accept the answer? Is there something wrong with it?',impolite
'Im using javascript to include other html files. <-- why?',impolite
'What error? What exactly is not working?',impolite
'What do you mean? exact practical view?',impolite
'When were closures for JDK 7 cancelled? You have a link confirm this?',impolite
'I think we must sort the group for select algorithm but it is not necessary for sorting the elements in the quick select algorithm !! isnt it?',impolite
'So what exactly is the problem? Changing the size doesnt work?',impolite
'@Qmal: why dont you want it? Any reason?',impolite
'How do you know the i386 machine is i386 only? Also why not a universal build?',impolite
'and the language of your choice is? and the form of your input is?',impolite
'Use a thick pen for the line and thin one to draw the border. (BTW Whats that got to do with `C++`?)',impolite
'More time spent does not imply more dollars spent. If the decision is between having to pay five developers for a month or having customers wait 0.5s longer for a request what would you choose?',impolite
'sorry there arent enough details for me to even begin answering.  Could you include some more information?',impolite
'I dont understand this. There is an infinite number of possible strings between a longer string and another long string so how can you guarantee unique values?',impolite
'Why is your `i` loop going from `j:6` rather than `1:6`?  Have you noticed that `sum` is being recalculated on every iteration (overwriting the value from the previous iteration)?',impolite
'Checkpoints hmm? Must they be visited in order?',impolite
'If input is {{a: 1 b: 1} {c: 1} {b: 1 c: 1}} do you just want {{a: 1 b: 1}  {c: 1}} or all 3? If its the former what exactly do you need this for?',impolite
'Theres a comment saying special case to return to 2 associated with  the following code `if count == 2 and pattern[count] == 1`. Whats so special about that case?',impolite
'Debug adds lots of overhead to a program. Why are you assuming things are wrong?',impolite
'Just curious who asked a question like that? Did you apply for a math heavy position without knowing what FFT is or did you apply for a normal job and they asked you this?',impolite
'what error did you get (exception/error message) ? what exactly do you want to achieve when you say merging 2 PNG ?',impolite
'Nothing jumps out.  You *did* restart VS after copying the visualizer right?',impolite
'Why cant you just split every job to three equal sized parts (e.g. 1000 = 333 + 333 + 334) and always run only one job at a time and through all the three lines?',impolite
'A hash? You mean a hash trie?',impolite
'You made me work at that a little too hard.  Next time could you provide a link to the algorithm that youre using or at least give us the name of the algorithm?',impolite
'Your second code snippet is the same as the first. Did you not paste it in correctly?',impolite
'The question isnt clear. Is it a video of two stars in the sky?',impolite
'Who is this StriplingWarrior? Why he/she edit my question?',impolite
'Sooo whats the problem? Do you get an error when trying to compile the code?',impolite
'I deliberately didnt mention memory constraints because I wanted to hear several ideas and then make a judgement about speed/memory tradeoff. Can you be more specific about lookup tables in this scenario?',impolite
'What exactly are you asking?  Are you asking for good examples for books to use good things to try while learning or just our opinion about the difficulty of examples?',impolite
'Yes Pavel. That is correct (frame problem much?) :(',impolite
'`else if` serves a very different purpose than a simple `if`. How can you code without `else if`?',impolite
'... since yourre quoting something mind sharing what youre quoting? A homework assignment perhaps?',impolite
'How is 17:18:3600 supposed to be understood? Is this a standard format?',impolite
'it seems you are posting some parameter named `imagename` from your code and you are trying to find path of that parameter ?? confusing Or  if you are uploading the file and you want the path to file from client????',impolite
'Do you have 18GiB of memory to store the solution? Do you really need all of them?',impolite
'Why do you want to use those? What are you trying to do?',impolite
'Time to register and start giving some votes to the people that are giving you free consulting. All : Is a feature on Stackoverflow that if a user doesnt register that there is no calculation of acceptance rate?',impolite
'Also youre not really asking a question by just posting some unfinished code - you need to be more specific. Is there something you dont understand about how the code works?',impolite
'Why not using `isnan()` from math.h? Any specially reason?',impolite
'by js?? you mean AJAX??',impolite
'How is it awkward? Which version of VS (they have different levels of js intellisense support)?',impolite
'Track users? Keep statistics on what?',impolite
'Why is the clause changing every time?  Why dont you post your best attempt and well look at it?',impolite
'Any particular reason youre thinking of `O(n*log(log(n))`? Or is that just something that spontaneously came into your head?',impolite
'You want to compress strings from argv really?  Or do you mean you want to treat argvs elements as names of files to compress like gzip the program does?',impolite
'Good question worded poorly. Might want to try rephrasing it?',impolite
'If any database errors occur they will be emailed to the address specified here. Do u get any emails??',impolite
'Ruby on Rails runs at the server side. So how about using that?',impolite
'Hot d*mn this is more complicated than I thought at first. Week 1 is the week that contains the calendar years first *Thursday*!?!',impolite
'Yes I had to wait about 18 minutes or whatever it was in that time I forgot to come back and accept it.Do I always have to wait for these flood checks?',impolite
'Your question is too vague. What do you want to achieve exactly and what did you already tried?',impolite
'Why wouldnt you want to go to the source code? Whats the purpose of debugging if not for checking the code?',impolite
'schoolwork? its a strange query dont you have more information for us?',impolite
'Do you have problem with it? Does it work?',impolite
'Youre missing a paren.  Is that the problem?',impolite
'Why are you doing `{\% ifequal gallery.draft True \%}`?   Why not do `{\% if gallery.draft \%}`?',impolite
'Use images for transactions????? Do you mean that you want to use images to represent certain info on the screen?',impolite
'How are you converting to decimal?  Why wouldnt that same method work for conversion to ternary?',impolite
'@zr: **How is 0x5f7fffff even but 0x5f800000 is not?** What exactly do you mean by *nearest even*?',impolite
'Im confused. You dont have the original assets ?',impolite
'Why bother with the `.php` in the rewritten URLs? Why not just `/course_view`?',impolite
'What if there is no idle worker how do you intend to deal with that? Just queue them up?',impolite
'You seem to have an algorithm that works. Whats the problem?',impolite
'@BoltClock: Im pretty sure that algorithms are part of the programming subject. Strictly speaking an algorithm is not a program of course but are we really going to throw out all the questions on searching and sorting methods on the grounds that quicksort is an algorithm it has absolutely nothing to do with programming?',impolite
'I dont think anyones going to be able to help you based on that information alone (considering we dont know what `0x306aeaa5` is). Can you post your code and tell us what the exact problem is?',impolite
'What do you mean by by default the week starts at Monday? Im not saying thats not true but how/where do you experience that in your code?',impolite
'Again:  What attributes do you have?  What is the structure of your data?',impolite
'Im guessing ruby but lets make it clear. What language?',impolite
'The real question is  what does First returns? Since Dictionnary uses hash values First is first of what???',impolite
'@brian Actually yes. Is that possible without causing the world to burn?',impolite
'@Alexander I did not understand your last comment. Why cant you store positions?',impolite
'Why do you want to show multiple tooltips for a single control? Why not just combine the contents of the two into a single tooltip?',impolite
'Any more incite from either of you? Or anyone else for that matter?',impolite
'Why do you need 200 variables? Why not have one array with 200 elements?',impolite
'Sry this explains to me... I want to rewrite this solution [link](http://stackoverflow.com/questions/5636413/how-to-determine-maximum-route-cost-in-a-n-high-numeric-pyramid) in ruby. And why did you say poorly implementing?',impolite
'The instructions you linked mention using Visual C++ Express yet your output tells that distutils tries to use gcc.  What are you actually using?',impolite
'-1: A bad question.  The real question is how do I concatenate file names?',impolite
'Are you trying to validate the file somehow somewhere? Why does the file need to be only available on create?',impolite
'Whats not working? what do you expect it to do?',impolite
'A regular expression here seems like overkill.  Why not just `explode(#http://blah.com#removethis2)[0]`?',impolite
'Could you clarify what you think the problem with `Digest::MD5` might be? If you cant why dont you just use it?',impolite
'Too vague - explain what you expect the contents of the array to be afterwards - give a concrete example. Possibly also needs a homework tag ?',impolite
'What do you mean by URL exactly? This is a rather artificial concept with classpath resources - what would you do with that URL?',impolite
'a method that exposes all info of a team ... exposes how? `return this;`?',impolite
'Change them to what? If that is your input what is your desired output?',impolite
'Your Frequently Asked Question is answered in the very first sentence: perldoc -q match --> Im having trouble matching over more than one line.  Whats wrong?',impolite
'@carleeto: Have you tried the various suggestions in the answers?  15 minutes? Wow.',impolite
'Do you really want to parse both in the same context? What about things like 2000000.45?',impolite
'Ive yet to see a single keyword from the Fortran language in this question. Could you post a minimum size example of fortran code which gives this kind of error along with what you did to generate it instead of guessing on the source of the problems?',impolite
'You need to define your scope. Do you plan to use this on *many* words?',impolite
'What ordering are you assuming for @array2. In other words why does the count for one come before the count for two?',impolite
'I still dont understand what you want to do. What do you mean by reorder the sequence in which the pixel intensity data comes?',impolite
'Why would you use a genetic algorithm for this?  Whats wrong with an ordinary one?',impolite
'what can i do about that? Make a new one??',impolite
'Finding the min/max of a sequence is at worst a linear operation. How did you come up with something quadratic?',impolite
'Why are you using jQuery here in the first place it doesnt seem to be doing any good. Cant you just output the name inside the element directly?',impolite
'@jtbandes - why learn C first?  Would you say the same to a C++ questioner?',impolite
'@astony: *in a single step you could transfer at least one point from element to its neighbours*.  Do you mean **at most**?',impolite
'Its not really fast it just runs at a normal rate. Ever heard of the saying in the land of the blind the one eyed man is king?',impolite
'Could you please clarify with an example? And are we doing your homework for you?',impolite
'I have got a problem with your solution: the keys in your hashtable are not unique (if A[] = {1 1 1 1} what is H ?). So how do you prove that H.get() is o(1) ?',impolite
'Your code isnt going to work anyway. How can `tags` contain a new instance of the tag object?',impolite
'I dont get it. How can you want to find the highest value while at the same time not caring how a comparison is done?',impolite
'Did you already ask this question? But i think the file path for tabify could be playing up??',impolite
'What exactly you need to do? Any examples???',impolite
'hi zaky i m using xcode 4 tat rename button doesnt exist anymore...hi vakio yes i can see SimpleScrollView still in the pbxproj wat do u mean by rename the executable?',impolite
'Why dont you use the DEBUG flag directly instead of delegating the function to a class variable? It sounds like that telephone game Chinese Whispers (?)',impolite
'All of the answers to that othe question are correct. Do you really need help updating a datbase or do you need help working with the Perl standard-data-structures?',impolite
'If you are insecure about your pet IDE being criticized then by all means step up and defend it.  How do I define a custom key binding in eclipse?',impolite
'What is the question? What is wrong with it?',impolite
'What is a `peek()` method? What is it you want exactly?',impolite
'Why would you build your own XML parser at all? Is this just to learn javaCC?',impolite
'The sum divided by 4 results in 6 minutes. How do you get 8 minutes?',impolite
'You really should give us more information. How does the user create an account for example?',impolite
'Who said the bunks are equidistant? Also what is a bunk?',impolite
'@Dan Dinu: is it guaranteed it is possible to identify who is a liar and who is a truthteller? should we be able to identify it is not possible?',impolite
'Youve already said that youre using JPEG2000 which will work.  What do you have a question about?',impolite
'What part of that is supposed to be case insensitive? The comparison with Alaska?',impolite
'`a` cannot equal 2<sup>779</sup> in standard C or C++ unless youve defined a custom numeric type. If you do have one why not just **try it**?',impolite
'Are you trying to print the possible ways to express your number as a sum? You know there are an infinite number of ways to do that right?',impolite
'@Vlad: then why is there a problem? If you make each tile say 5 bytes (that 1 byte + entityID) and every entity contains its position then everything is O(1) right?',impolite
'Why would you copy an egg? Did not introduced yourself to `virtualenv` yet?',impolite
'@Marc: Wow. Was it obvious that aali was a sockpuppet account?',impolite
'An important concept in Rails is REST and how websites should respond to requests. Why do you want to delete the ever useful edit route from that resource?',impolite
'What do you mean Justin? I am unsure what you mean by Autobot and Decepticon?',impolite
'What did not work? closing of the connection or removing the persistence?',impolite
'Youre not removing duplicates -- youre merging them.  Right?',impolite
'Is there a reason you dont just let IIS do this for you?  Or use the `<authorization>` features in your web.config?',impolite
'Show more declarations what is the type of the curr_time2 variable? How is the get_time_in_seconds() function declared?',impolite
'And: what does choppy mean exactly? Could http://www.learningjquery.com/2009/01/quick-tip-prevent-animation-queue-buildup help?',impolite
'list b? I dont get it.. mind to explain more?',impolite
'I think you mean remote debugging. That being said have you tried to turn off remote debugging for the SWF you dont want to allow debugging on?',impolite
'Why do you want to do this in the first place? Youre already using managed code why not use the BCLs [regex class](http://msdn.microsoft.com/en-us/library/system.text.regularexpressions.regex.aspx)?',impolite
'Why are you trying to exchange data between component in the same system via a file?  Why not use a temporary file to create a mock file?',impolite
'Link? Is this homework?',impolite
'And as Ive said already look at how Apple do it. Have you looked at how CoreDataBooks works?',impolite
'Yeah why do you have multiple HTML files in one file in the first place? Wouldnt it be easier to remedy that?',impolite
'Yes. It references the static in A just fine just not in B. I see why this is a problem since A may have no visibility to Bs statics. Im asking if there is another way to do this?',impolite
'Delegates dont work!? Do you use Control.BeginInvoke() method to invoke delegates?',impolite
'What is the actual question: how to build ConnectionKit as a framework how to use/link an arbitrary framework to a project in Xcode (which version?) or both?',impolite
'Why do you need randomness? Why cant you use sequential strings?',impolite
'ya it is! am i not supposed to ask hw questions here?',impolite
'I dont understand your concern with the user might think that margins contains only :left and :right. How is it different when you use the chart.marings(:left 10) syntax ?',impolite
'Nope. Do I need to start one?',impolite
'This makes no sense :( Can you make a bare-bones project that reproduces this behaviour without giving anything about your project away? If you add the tap recognizer to self.view does THAT work?',impolite
'I thought compilation warnings shouldnt affect the outcomes of compilation. Arent there any additional error messages you that you left out?',impolite
'Do you still can use build-in rails validation with this custom exception class? Havent you blogged about it?',impolite
'Innovative?  You mean something that uses genetic algorithms that cloud compute on quantum computers?',impolite
'What do you mean by prefix?  Do you mean to add a prefix to all the entity class names?',impolite
'99\% of my use is C++ ... I dont know what they did but its horrid. Have you tried using a remote debugger or another instance of visual studio and attaching to the process?',impolite
'That code works fine for me.  What does your **actual** code look like?',impolite
'Could you clarify to which goto doesnt it go?.. Whats the expected/real output?',impolite
'Whats wrong with `foreach($array as $key => $value)`? Or asked the other way around whats the point using `foreach($array as $value)` when you actually need `$key` somewhere down the road?',impolite
'How come you have a need to to_str on a name? Isnt a string already?',impolite
'Whats the point of subfeatures if you cant save them to a file? Is there some other format I can save that preserves subfeatures?',impolite
'Are you using Perl 5? If you are why are you writing for Perl 4?',impolite
'Not completely so because my question is more specific in terms of hash size and ignores performance. Also I am not just looking for _a_ hash function I am looking for a meaningful choice -- I know there are CRC32 and FNV32 but which is better for my domain?',impolite
'Sounds like possible homework.  What have you tried?',impolite
'Does that mean were not allowed to ask WordPress questions on SO even if theyre legitimate programming questions?  Why the fragmentation?',impolite
'Youre going to have to be more specific about what you want to know.  What kind of platform are you using to implement these algorithms?',impolite
'Not really no (though maybe with JS). Is `display: block` a problem for some reason?',impolite
'Not writing a full blown DNS so reading never ending RFC is a bit boring. Or is that absolutely essential?',impolite
'Do you want the actual algorithm or a clue (ie. some kind of homework help)?',impolite
'What do you mean wont? Whats the error or result that you arent expecting?',impolite
'@Koper in order to program this algorithm I need to understand what the algorithm does. How is it *not* related to programming?',impolite
'Whats all the .strip() doing in the parsing rules? Shoulnt your lexer take care of removing trailing whitespace?',impolite
'Well you look in Data::Compare and see what they do. Why dont you want to use that module?',impolite
'task == homework? ^^ Moreover: what is supposed to output this newly invented `diff`?',impolite
'How do you expect a DOM node to be serialized? What information do you want from a DOM node?',impolite
'What do you mean same operation? Is @myArray shared?',impolite
'Do you have a specific question ? E.g. which part are you having difficulty with ?',impolite
'So? what is the question? The codes not working is that the question?',impolite
'You dont have a file handle you have a file *name*. Which does the subroutine expect?',impolite
'If you know how to get the bits into a string then do that and get the first five of them using a substring. Which part do you need help with?',impolite
'@jtbandes Its not a home work.. i wanted to know the appropriate algoritm basically.@pascal using temporary dictionary means using extra memory(storage)?',impolite
'What do you mean by documents? Something that looks like a report or just a spreadsheet full of numbers?',impolite
'What do you mean by Theres no Interlocked function available that will actually swap values.? Why cant you use these functions?',impolite
'Im dont understand what you are getting at here. It might help if you told us what `$one` `$top_level` and the output you want are along with that the value means  the value of what?',impolite
'What about B.C B.D and C.D?  Why does your goal not include these?',impolite
'why keep stuff that you dont access? why not leave the space for stuff thats needed?',impolite
'Im pretty sure that the google image search just goes by image name doesnt it? or are you talking about some other google search that Im unaware of?',impolite
'Its not clear that this is a programming question. What are you looking for?',impolite
'Whats the purpose of this? How do you want to use them?',impolite
'Whats Web of Knowledge?  Where is this javascript form?',impolite
'Golf? Obfuscation?',impolite
'Stick it in dynamically from where? You just need it to be a global js var?',impolite
'The last sentence looks a little contradictory. Does it copy your generated config and then overwrites it?',impolite
'Also how do you know it failed? You get an error message?',impolite
'I dont think theres any optimal way to do it other than just scanning the string looking for the delimiters.  Perhaps _you_ could code that yourself?',impolite
'What are you trying with[Names init];  ????',impolite
'You are not talking about the **old** share button right? can you provide us the *other* blogs that have this special like plugin?',impolite
'If you serve a thousand of these per page youre hitting 49 kilobytes. How many of these could you possibly be serving?',impolite
'It depends on language/platform. Or it doesnt matter?',impolite
'Where exactly are you stuck? What doesnt work?',impolite
'@MAK: Well there is a problem **what order to store in** and then there is a solution that specifies one way to solve the problem with its own advantages and disadvantages. Not `algorithm` -worthy?',impolite
'Your current solution may work but doesnt make sense to do it that way just so you can skip typing a class name.  What is the problem with using the class name?',impolite
'you mean as if youd print screen it ? or what?',impolite
'I would suggest you reconsider if using the `*` selector is a good idea. Maybe what you want to do is possible without iterating over the zillion elements that make up a production web page?',impolite
'Why is your code stored in a `.cpp` (C++) file while the question is about C? So what is it C++ or C?',impolite
'@Rippo: Tried it and it doesnt work. Isnt the `$form.find(.person)` supposed to find all elements that have the `person` class inside the form with `personas` id?',impolite
'I dont really get the logic. Whats similar about [2] and [5] and whats equal about titles...?',impolite
'Could you clarify what you mean by go into? Why dont you explain what you want to happen?',impolite
'We need no code to reverse a string. And who would need a reversed string anyway?',impolite
'@sepp2k isnt fnc declaration and worded postcondition sufficient for this task (I wasnt given definition at all by the way)? What for would one need to see guts of a fnc in order to be able to give formal proof for postcondition?',impolite
'Straightforward solution with iterating over sub-array to find an average wont it have `O(n)`? Why `O(n^2)`?',impolite
'Would volatile really have that effect in C? Dont you mean register?',impolite
'If its TRUE white noise (static) its at all frequencies equally and unfilteranle. What kind of noise is it really?',impolite
'@ANdrea: I dont that is right. What if all the numbers were negative?',impolite
'Sounds like can anyone show me how to iterate over array and execute function on each element. Whats the problem with iterating it step by step just as you described?',impolite
'what have you tried? There are over 2000 questions here on SO about random numbers have you had a look on some of them?',impolite
'Why are you attempting to do multi-threaded UI?  What is the problem that cant be solved with single-threaded UI?',impolite
'I dont repro this at all.  What *exactly* do you type?',impolite
'where are you viewing the records?? are you sure they are not stored well?',impolite
'If you wrote the CGI script then you know how that script determines where to put the files and how to name them. What is stopping you from adding that information to a database?',impolite
'You want *all* the paths? You want *all simple paths containing at least two members of the subset*?',impolite
'Could you share the relevant information with us *irrespective* of whether it is an exception and error or something else?  Also what does because I must there KeyPairValuOfStringAndCarType mean?',impolite
'@Nick Usually they are <div class=section> but sometimes there are other classes.  Does that matter?',impolite
'How do you come up with 57? Are you allowed to divide by 2?',impolite
'Because different different languages have different strengths and libraries already written for them. If I wanted to write lots of set up code for this problem why would I pick a dynamic language why not give myself more work and code in Java or C?',impolite
'Why not just generate the autocompletion configuration based on your YAML file? The options wont be changing all the time so why bother trying to make the autocompletion configuration dynamic?',impolite
'Whats the processor? What have you done yourself to answer the question?',impolite
'What do you mean by moving? Moving around in your window or a moving image like a *.gif?',impolite
'Smells like homework. How far did you get?',impolite
'Nope no sense. Whats a conceptual break in this context?',impolite
'Youll need to store something server-side. And I dont get what stand-alone means in this case how will it access the URL then?',impolite
'What is the question here?  Are you wondering what you mightve missed?',impolite
'It helps if you mention what operating system youre using. It is Ubuntu Debian or something else?',impolite
'What this statement do is giving you no hire on interview and severe pay cut if found in production code. May be professor will like this answer? :)',impolite
'How can you not know the length of the array? How will you know that your index is out-of-boundaries?',impolite
'What do you mean *excluding the $ and $*? What $ and $?',impolite
'What have you tried? Examples?',impolite
'You can place islands so there is no path between points. What should happen then?',impolite
'What are you programming on where 16MB is too much? A phone?',impolite
'What are you trying to get exactly?  If the list is just 2 tickets with priorities 3 and 5 what do you want to find?',impolite
'Why are we reloading the page? Cant one manage all the data to be changed in a stream to the applet directly or AJAX javascript?',impolite
'Why are the results bad? Can you elaborate on what you did?',impolite
'What do you mean by more sophisticated? Functions that take word boundaries into account?',impolite
'What language are you looking for? C/C++?',impolite
'You created an object of class `A`. Why would a `print_r` in some instance of class `B` have access to something you changed in a different instance of class `A`?',impolite
'Is your problem that you dont know why the cost of the cycle 3 -> 1 -> 2 -> 4 -> 5 -> 3 is 37? Or is it that you dont know how to do the backtracking?',impolite
'This question is almost word-for-word the same as http://stackoverflow.com/questions/3624056/ . Is this homework?',impolite
'what about my answer? didnt it help?',impolite
'Can you please clarify your question so its clear what youre asking for. Do you want examples of functional and non-functional requirements in the problem specification?',impolite
'... not possible to my knowledge. Any reason you want something like that?',impolite
'Binary shift? Divide?',impolite
'Aha! Can I also give you an answer which is not coded??? You and me need codes... Okay?',impolite
'why not `fprintf`? is this a homework?',impolite
'Well youre ignoring all caught exceptions. Is an exception being thrown?',impolite
'How do you mean sorting a string?  Do you mean sorting a list of strings?',impolite
'I can but it is written in Lithuanian language so I think you wount understand. Anyway where should I put it?',impolite
'Does it do anything other than deselect it?  That seems a little redundant why not just uncheck the checkbox?',impolite
'Ive never tried comparing them but Id be very surprised if you saw a difference. Isnt the SQL engine going to optimize this for you?',impolite
'Wouldnt R and C just be fixed numbers? What error are you getting?',impolite
'Ok so if you cant fond the correct tires for your car youll prefer to re-invent the wheel? Wont you change your tire-dealer?',impolite
'I dont think Ill ever understand the subjective and argumentative thing for community Wikis. If nobodys getting rep what harm does it do ?',impolite
' actually the application crashes... We need the crash info. Is it a BAD ACCESS ?',impolite
'This cannot be the *only* relevant parts of your code because this compiles fine.  Are you sure that the error message really corresponds to the lines youve shown here?',impolite
'You mean _orthogonal_ forms? right?',impolite
'OK now Im curious. Why isnt this a syntax error?',impolite
'Find what? How much paper is covered?',impolite
'Dont you mean 2N edges? And you want the matching to include all nodes correct?',impolite
'What are you asking? How to modify a stored procedure using SQL or how to send a SQL command to the server?',impolite
'The question is quite unclear. Can you provide a test-case?',impolite
'Please clarify your problem. Are you looking for some P2P solution or want to play with the IP header?',impolite
'There cant be a general solution. What do you do when the stack has 10 entries and you need to output a number but the last number hasnt arrived yet?',impolite
'As the log mentions BTServer is posting a notification called BluetoothAvailabilityChangedNotification. Why dont you suscribe to this and any other notification interesting to your app instead of reading and parsing the logs?',impolite
'you want to link existing users to twitter facebook etc... im right ? Why you didnt use omniauth ?',impolite
'Whats the purpose of a Riddle? If you get some kind of reward shouldnt it be a SpecialSquare also?',impolite
'this is not merging this is sorting. BTW what are those objects (a1 b1 ...) string?',impolite
'having trouble grokking those first couple paragraphs.  Edit?',impolite
'Transport protocol right above the data link layer?  You sure?',impolite
'UTF-8 files are text. Whats this about an image part?',impolite
'Im not sure I understand your question.  Can you put the first sentence into a complete sentence?',impolite
'OK fair enough. But its still not a SO question?',impolite
'This is just the name hiding issue. Why cant you just use the `using A::foo` clause ?',impolite
'What do you mean by equivalent value?? Are you just looking for a linear function like that in @phimuemues answer?',impolite
'Nope. I can debug in my local IIS but I dont see the files anywhere?',impolite
'Not enough details. What programming problem do you have?',impolite
'@Nightfirecat  Well the normal `<hr />` isnt enough contrast from the background to provide me with what I need.  So creating a 1x3 image and a 100x3 image doesnt really change the speed at all?',impolite
'what is the & sign for? why do it?',impolite
'Also what time are you synchronising? And why?',impolite
'@Matthew Why not just use an existing hashtable implementation? Why do you need a custom hash?',impolite
'This looks suspiciously like homework. Could you elaborate a little more ?',impolite
'Looks like you should have started your homework a bit earlier.  What have you tried?',impolite
'Sure seems to work for me on FF 3.6 Chrome 7 IE 8...  http://jsfiddle.net/x3MMA/ (added a console.log to test).  Are we missing some details of the problem?',impolite
'Most of time such a question is a sign of bad design. Why do you need dynamically assigned variable names?',impolite
'What GUI framework? What OS?',impolite
'Looks like youre passing null to an API parameter particularly a null Overlay somewhere in a mapview probably. How are we supposed to know?',impolite
'maybe you can start with useing code tags. and i dont see how the frame loads the pics?',impolite
'With 6 rows you will end up with ids 1-5 having value 166 and id 6 with value 170. Sure you want that?',impolite
'I dont see why you would prefer academic papers over actual solutions. For example have you looked at how Doxygen  does this?',impolite
'What is/are all monthy in whay?  Are you trying to state that you need to list all values in January along with their sum?',impolite
'What exactly do you want to warn about and what exactly do you want the message to be? How is `@Deprecated` itself not meeting your needs?',impolite
'I am not sure what you are trying to achieve. Is it a non-convex hull that represents the shape of the point-cloud better than a convex one?',impolite
'Short answer is yes. Did you want to know something more specific?',impolite
'@omri yes you are right... I have applied the logic acc. to what I thought is right if somebody could tell me whats wrong I have done ?????',impolite
'Complexity of what? Time complexity of some operation?',impolite
'Unclear. Is that one process?',impolite
'it **only** affects the object that has been created in the last loop-round? or it **also** affects the object that has been created in the last loop-round?',impolite
'best according to what Goal?  What are you trying to minimize or maximize?',impolite
'You need to narrow the problem down. Is your question actually how do I update an entity reference in EF?',impolite
'How far have you gotten?  What kind of code have you written?',impolite
'Did you solve the other problem? The multiplication one?',impolite
'Defined central point?  Do you want any point within a convex hull around the points the geometric center or what?',impolite
'What do you mean by character? The drive letter?',impolite
'O(n) is trivial. Is it possible to do this faster?',impolite
'@hippietrail: Truncated how? and on what OS?',impolite
'Im not really sure what you are up to. Chances are that you would like to do something as asked in [this question](http://stackoverflow.com/questions/4924350)?',impolite
'Ultimately **every** file is represented using `0` and `1` only. What makes a bitmap index different?',impolite
'Yes I am using an ancient version: OS X 10.4.11 and XCode 2.5!  Is that the problem?',impolite
'Why voted down?  Fair enough question yes?',impolite
'Thats not clear what kind of distance? You mean orthogonal distance from a side of original rectangle to another one?',impolite
'All programming exercises apply to all languages.  What are you asking?',impolite
'*i need to include that function* What function? *i need to know an easy way to get it included and get started with it* What is it?',impolite
'Yes but the w doesnt have to be 2. What then?',impolite
'`self` is reserved? Are you sure about that?',impolite
'Try to get the terminology right there really isnt such a thing as POST and GET variables especially not on the client side (which I assume you are referring to). So what exactly do you mean?',impolite
'Given all the software tools out there (IDEs refactoring tools text search tools etc.) why do you want to write this from scratch yourself?',impolite
'I think you may have made a typo in your question you show Data #3 at index 4 then later show Data[4] = Data #4.  But essentially you want to have an list with all 9 values and fill in nulls where a value is not provided?',impolite
'So the request *does* actually make it to your `update` method (i.e. gets routed via the mappings with the `PUT` method correctly)?',impolite
'@Joonas: What about the solution posted by Benjamin Manns? That does not work for you?',impolite
'is it accessory to call only delegate method on button click ? or some how to call it ?',impolite
'You dont have any call to `fork()` in your sample program. Is this intentional?',impolite
'Are there integers? and can they repeat within a set?',impolite
'The second example in your second question accesses unallocated memory. Was that on purpose?',impolite
'There is no image attached.  Also what have you tried by yourself?',impolite
'I think you need some more examples cause I still dont understand what youre trying to do. What about longer arrays and a different number of elements to select?',impolite
'@codeka - 4 in all of those bases is still 4. A more interesting question would be what base is 10? :P',impolite
'Code snippet?  What is failing?',impolite
'What do you mean in terminal? Are you just in a shell prompt or are you trying to capture arrow keys in an irb prompt?',impolite
'Im sure the error says more than that. What else does it say?',impolite
